                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4933,                 2.0756,                 1.4651,                 0.3711,                0.19115,                0.18464,                0.08003,                    nan,                    nan,                    nan,             0.00047415,             0.00047415,             0.00047415
                      2,                 1.5694,                  1.855,                 1.5384,                0.54205,                0.15681,                0.15887,                0.06417,                    nan,                    nan,                    nan,              0.0009348,              0.0009348,              0.0009348
                      3,                 1.5993,                  1.853,                 1.5633,                0.54826,                0.12965,                0.12722,                 0.0457,                    nan,                    nan,                    nan,              0.0013797,              0.0013797,              0.0013797
                      4,                 1.6069,                 1.8398,                 1.5771,                0.53995,                0.19577,                0.17197,                0.06692,                    nan,                    nan,                    nan,              0.0013583,              0.0013583,              0.0013583
                      5,                 1.5699,                 1.7919,                 1.5431,                0.53433,                0.20077,                 0.1751,                0.07571,                    nan,                    nan,                    nan,              0.0013583,              0.0013583,              0.0013583
                      6,                  1.571,                 1.7634,                 1.5397,                0.53441,                0.18627,                 0.2073,                0.08859,                    nan,                    nan,                    nan,              0.0013347,              0.0013347,              0.0013347
                      7,                 1.5371,                 1.7325,                  1.525,                0.58149,                0.20598,                0.20838,                0.09187,                    nan,                    nan,                    nan,              0.0013111,              0.0013111,              0.0013111
                      8,                 1.5203,                 1.6714,                 1.5143,                0.34276,                0.25261,                0.23443,                0.09968,                    nan,                    nan,                    nan,              0.0012875,              0.0012875,              0.0012875
                      9,                 1.4968,                 1.6456,                 1.4954,                0.27528,                0.23615,                0.22312,                0.10027,                    nan,                    nan,                    nan,               0.001264,               0.001264,               0.001264
                     10,                  1.491,                 1.6137,                 1.4872,                0.38252,                0.26503,                 0.2386,                0.10594,                    nan,                    nan,                    nan,              0.0012404,              0.0012404,              0.0012404
                     11,                  1.477,                 1.5911,                 1.4764,                0.46049,                0.25141,                0.24455,                0.10619,                    nan,                    nan,                    nan,              0.0012168,              0.0012168,              0.0012168
                     12,                  1.458,                 1.5641,                 1.4675,                0.34223,                0.22743,                0.22952,                0.10115,                    nan,                    nan,                    nan,              0.0011932,              0.0011932,              0.0011932
                     13,                 1.4491,                 1.5342,                 1.4555,                0.55447,                0.26158,                0.28748,                0.12574,                    nan,                    nan,                    nan,              0.0011696,              0.0011696,              0.0011696
