                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5149,                 2.1517,                 1.5006,                0.28418,                0.21578,                0.21244,                0.09583,                    nan,                    nan,                    nan,             0.00047431,             0.00047431,             0.00047431
                      2,                 1.5753,                 1.9161,                 1.5462,                0.29007,                0.22424,                 0.2185,                0.09682,                    nan,                    nan,                    nan,             0.00093495,             0.00093495,             0.00093495
                      3,                 1.6115,                 1.9269,                 1.5854,                0.41151,                0.19043,                   0.18,                0.08241,                    nan,                    nan,                    nan,              0.0013799,              0.0013799,              0.0013799
                      4,                 1.6194,                 1.9183,                 1.5876,                0.39876,                 0.2137,                0.19369,                0.08292,                    nan,                    nan,                    nan,              0.0013583,              0.0013583,              0.0013583
                      5,                 1.6047,                 1.8822,                 1.5877,                0.34912,                0.21322,                0.19793,                0.09045,                    nan,                    nan,                    nan,              0.0013583,              0.0013583,              0.0013583
                      6,                 1.5761,                 1.8308,                 1.5613,                0.51566,                0.23041,                0.23605,                0.10854,                    nan,                    nan,                    nan,              0.0013347,              0.0013347,              0.0013347
                      7,                 1.5526,                 1.7757,                 1.5514,                0.46081,                0.24678,                0.24898,                0.11436,                    nan,                    nan,                    nan,              0.0013111,              0.0013111,              0.0013111
                      8,                 1.5362,                 1.7502,                 1.5362,                0.52644,                0.24482,                0.26068,                0.12008,                    nan,                    nan,                    nan,              0.0012875,              0.0012875,              0.0012875
                      9,                 1.5179,                 1.7238,                 1.5252,                0.53666,                0.24251,                0.24581,                0.11185,                    nan,                    nan,                    nan,               0.001264,               0.001264,               0.001264
                     10,                 1.5014,                 1.6722,                 1.5049,                0.40957,                0.29374,                0.28218,                0.13012,                    nan,                    nan,                    nan,              0.0012404,              0.0012404,              0.0012404
                     11,                 1.4853,                 1.6602,                 1.4997,                0.37227,                0.23504,                0.26842,                0.13072,                    nan,                    nan,                    nan,              0.0012168,              0.0012168,              0.0012168
                     12,                 1.4783,                  1.629,                 1.4876,                0.54984,                0.25853,                 0.2952,                0.14168,                    nan,                    nan,                    nan,              0.0011932,              0.0011932,              0.0011932
                     13,                  1.463,                 1.6183,                 1.4858,                0.46941,                0.27221,                0.29253,                0.14531,                    nan,                    nan,                    nan,              0.0011696,              0.0011696,              0.0011696
                     14,                 1.4569,                 1.5925,                 1.4782,                0.49602,                0.28601,                0.30213,                0.14733,                    nan,                    nan,                    nan,              0.0011461,              0.0011461,              0.0011461
                     15,                 1.4379,                  1.549,                 1.4664,                0.54562,                0.30007,                0.31505,                0.15109,                    nan,                    nan,                    nan,              0.0011225,              0.0011225,              0.0011225
                     16,                  1.429,                 1.5566,                 1.4652,                0.42689,                0.30608,                0.30925,                0.15137,                    nan,                    nan,                    nan,              0.0010989,              0.0010989,              0.0010989
                     17,                 1.4361,                 1.5445,                 1.4611,                0.71275,                0.27661,                0.31163,                0.15336,                    nan,                    nan,                    nan,              0.0010753,              0.0010753,              0.0010753
                     18,                  1.428,                 1.5095,                  1.454,                0.59453,                0.27497,                0.33605,                 0.1668,                    nan,                    nan,                    nan,              0.0010517,              0.0010517,              0.0010517
                     19,                 1.4117,                 1.4891,                 1.4362,                0.58082,                0.30723,                0.34664,                0.17773,                    nan,                    nan,                    nan,              0.0010282,              0.0010282,              0.0010282
                     20,                 1.4052,                  1.467,                 1.4257,                0.38074,                0.27049,                0.31849,                  0.161,                    nan,                    nan,                    nan,              0.0010046,              0.0010046,              0.0010046
                     21,                 1.3877,                  1.448,                 1.4305,                0.45958,                0.28308,                0.32384,                0.16757,                    nan,                    nan,                    nan,             0.00098101,             0.00098101,             0.00098101
                     22,                 1.3923,                 1.4474,                 1.4251,                0.42749,                0.31953,                 0.3482,                0.18127,                    nan,                    nan,                    nan,             0.00095743,             0.00095743,             0.00095743
                     23,                 1.3916,                 1.4241,                 1.4236,                0.51648,                0.30144,                0.34047,                0.17667,                    nan,                    nan,                    nan,             0.00093385,             0.00093385,             0.00093385
                     24,                 1.3848,                  1.431,                 1.4173,                0.71191,                0.29522,                 0.3333,                0.17699,                    nan,                    nan,                    nan,             0.00091027,             0.00091027,             0.00091027
                     25,                 1.3621,                  1.407,                 1.4062,                0.49365,                0.33356,                0.35932,                0.18614,                    nan,                    nan,                    nan,             0.00088669,             0.00088669,             0.00088669
                     26,                 1.3668,                  1.399,                 1.4121,                0.70129,                0.31063,                0.35968,                0.18162,                    nan,                    nan,                    nan,             0.00086312,             0.00086312,             0.00086312
                     27,                 1.3553,                 1.3841,                 1.4029,                0.51501,                0.33757,                0.37256,                0.19524,                    nan,                    nan,                    nan,             0.00083954,             0.00083954,             0.00083954
                     28,                 1.3505,                 1.3649,                 1.4005,                0.47344,                0.33625,                0.35605,                 0.1877,                    nan,                    nan,                    nan,             0.00081596,             0.00081596,             0.00081596
                     29,                 1.3504,                 1.3721,                    1.4,                 0.6413,                0.31659,                0.36592,                0.18679,                    nan,                    nan,                    nan,             0.00079238,             0.00079238,             0.00079238
                     30,                  1.329,                 1.3348,                 1.3795,                0.45142,                0.35352,                 0.3592,                0.19394,                    nan,                    nan,                    nan,              0.0007688,              0.0007688,              0.0007688
                     31,                 1.3283,                 1.3372,                  1.381,                0.43303,                0.32348,                0.33828,                0.18061,                    nan,                    nan,                    nan,             0.00074522,             0.00074522,             0.00074522
                     32,                  1.327,                 1.3108,                 1.3752,                0.56829,                0.33301,                0.38203,                0.20154,                    nan,                    nan,                    nan,             0.00072164,             0.00072164,             0.00072164
                     33,                 1.3221,                 1.3185,                 1.3774,                0.52465,                0.32471,                0.35924,                 0.1913,                    nan,                    nan,                    nan,             0.00069807,             0.00069807,             0.00069807
                     34,                 1.3111,                 1.3007,                 1.3704,                0.52044,                 0.3429,                0.37623,                0.20014,                    nan,                    nan,                    nan,             0.00067449,             0.00067449,             0.00067449
                     35,                 1.3104,                 1.2893,                 1.3677,                0.48858,                0.34811,                0.36812,                  0.194,                    nan,                    nan,                    nan,             0.00065091,             0.00065091,             0.00065091
                     36,                 1.3181,                 1.2792,                 1.3702,                0.51596,                0.35887,                0.39431,                 0.2092,                    nan,                    nan,                    nan,             0.00062733,             0.00062733,             0.00062733
                     37,                 1.2997,                 1.2818,                 1.3656,                 0.5451,                0.32491,                0.36914,                 0.1984,                    nan,                    nan,                    nan,             0.00060375,             0.00060375,             0.00060375
                     38,                 1.2805,                 1.2536,                 1.3497,                0.51489,                0.35889,                0.38812,                0.20812,                    nan,                    nan,                    nan,             0.00058017,             0.00058017,             0.00058017
                     39,                 1.2824,                  1.236,                 1.3451,                0.56044,                0.32592,                0.37838,                0.20284,                    nan,                    nan,                    nan,              0.0005566,              0.0005566,              0.0005566
                     40,                 1.2823,                 1.2389,                 1.3507,                0.55386,                0.35824,                0.38977,                0.21148,                    nan,                    nan,                    nan,             0.00053302,             0.00053302,             0.00053302
                     41,                 1.2759,                 1.2351,                 1.3488,                0.62079,                0.35666,                0.39925,                0.21395,                    nan,                    nan,                    nan,             0.00050944,             0.00050944,             0.00050944
                     42,                 1.2653,                 1.2217,                 1.3412,                0.54267,                0.37248,                0.41031,                0.21898,                    nan,                    nan,                    nan,             0.00048586,             0.00048586,             0.00048586
                     43,                 1.2578,                 1.1994,                 1.3334,                 0.5136,                0.33855,                0.38215,                0.21092,                    nan,                    nan,                    nan,             0.00046228,             0.00046228,             0.00046228
                     44,                 1.2635,                 1.1987,                 1.3339,                 0.5551,                0.33138,                 0.3868,                0.21051,                    nan,                    nan,                    nan,              0.0004387,              0.0004387,              0.0004387
                     45,                 1.2453,                 1.1949,                 1.3287,                0.49174,                0.35071,                0.37867,                0.20733,                    nan,                    nan,                    nan,             0.00041512,             0.00041512,             0.00041512
                     46,                 1.2407,                 1.1755,                  1.325,                0.54705,                0.35042,                0.39009,                0.20792,                    nan,                    nan,                    nan,             0.00039155,             0.00039155,             0.00039155
                     47,                 1.2393,                 1.1666,                 1.3202,                0.53252,                 0.3572,                0.38704,                0.20834,                    nan,                    nan,                    nan,             0.00036797,             0.00036797,             0.00036797
                     48,                 1.2395,                 1.1591,                 1.3138,                0.51942,                0.36208,                0.38352,                  0.207,                    nan,                    nan,                    nan,             0.00034439,             0.00034439,             0.00034439
                     49,                 1.2342,                 1.1629,                 1.3218,                0.50477,                0.36292,                0.38167,                0.20834,                    nan,                    nan,                    nan,             0.00032081,             0.00032081,             0.00032081
                     50,                 1.2268,                 1.1405,                 1.3151,                0.56234,                0.35886,                0.40257,                 0.2192,                    nan,                    nan,                    nan,             0.00029723,             0.00029723,             0.00029723
                     51,                 1.2216,                 1.0052,                 1.3073,                0.57679,                0.36298,                0.39713,                0.21665,                    nan,                    nan,                    nan,             0.00027365,             0.00027365,             0.00027365
                     52,                 1.2007,                 0.9749,                 1.2975,                0.54185,                0.35912,                0.39668,                0.21684,                    nan,                    nan,                    nan,             0.00025007,             0.00025007,             0.00025007
