                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5149,                 2.1517,                 1.5006,                0.58399,                0.18581,                0.18072,                0.07942,                    nan,                    nan,                    nan,             0.00047431,             0.00047431,             0.00047431
                      2,                 1.5842,                 1.9168,                 1.5533,                0.49173,                0.19373,                0.18272,                0.08187,                    nan,                    nan,                    nan,             0.00094123,             0.00094123,             0.00094123
                      3,                  1.624,                 1.9328,                 1.5839,                 0.3077,                0.18828,                0.15541,                 0.0679,                    nan,                    nan,                    nan,              0.0013987,              0.0013987,              0.0013987
                      4,                 1.6197,                 1.9152,                 1.5942,                0.27144,                0.20347,                0.18126,                0.07641,                    nan,                    nan,                    nan,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.6033,                 1.8818,                 1.5772,                0.36333,                 0.1922,                0.17496,                0.07974,                    nan,                    nan,                    nan,              0.0013866,              0.0013866,              0.0013866
                      6,                  1.578,                 1.8338,                 1.5593,                0.44109,                0.21134,                0.20381,                0.09194,                    nan,                    nan,                    nan,              0.0013724,              0.0013724,              0.0013724
                      7,                 1.5625,                  1.783,                 1.5582,                0.43074,                0.21816,                0.21074,                0.09162,                    nan,                    nan,                    nan,              0.0013583,              0.0013583,              0.0013583
                      8,                 1.5409,                 1.7559,                  1.538,                0.50797,                0.23819,                0.22539,                0.10075,                    nan,                    nan,                    nan,              0.0013441,              0.0013441,              0.0013441
                      9,                 1.5282,                 1.7308,                 1.5279,                 0.3824,                0.21133,                0.21868,                0.10037,                    nan,                    nan,                    nan,                0.00133,                0.00133,                0.00133
                     10,                 1.5047,                 1.6802,                 1.5086,                0.37377,                 0.2388,                0.21437,                0.09853,                    nan,                    nan,                    nan,              0.0013158,              0.0013158,              0.0013158
                     11,                 1.4961,                 1.6775,                 1.5105,                0.52154,                0.22055,                0.23216,                0.10924,                    nan,                    nan,                    nan,              0.0013017,              0.0013017,              0.0013017
                     12,                 1.4965,                 1.6484,                 1.4966,                0.63927,                0.23682,                0.25474,                0.11987,                    nan,                    nan,                    nan,              0.0012875,              0.0012875,              0.0012875
                     13,                 1.4797,                 1.6353,                 1.5006,                0.36393,                 0.2364,                0.23221,                0.10843,                    nan,                    nan,                    nan,              0.0012734,              0.0012734,              0.0012734
                     14,                  1.467,                 1.6146,                 1.4862,                0.63734,                0.24211,                0.27688,                0.13227,                    nan,                    nan,                    nan,              0.0012592,              0.0012592,              0.0012592
                     15,                 1.4465,                 1.5783,                 1.4738,                0.48466,                0.21598,                0.23664,                0.11113,                    nan,                    nan,                    nan,              0.0012451,              0.0012451,              0.0012451
                     16,                 1.4441,                  1.574,                 1.4766,                0.39664,                0.27458,                0.26921,                0.12715,                    nan,                    nan,                    nan,              0.0012309,              0.0012309,              0.0012309
                     17,                 1.4497,                  1.575,                 1.4752,                0.49466,                0.26783,                0.26924,                 0.1248,                    nan,                    nan,                    nan,              0.0012168,              0.0012168,              0.0012168
                     18,                  1.443,                 1.5376,                 1.4662,                 0.4709,                0.28507,                0.29555,                 0.1415,                    nan,                    nan,                    nan,              0.0012026,              0.0012026,              0.0012026
                     19,                 1.4224,                 1.5175,                 1.4467,                0.45321,                0.25805,                0.27003,                0.13104,                    nan,                    nan,                    nan,              0.0011885,              0.0011885,              0.0011885
                     20,                 1.4225,                 1.4887,                 1.4359,                0.41606,                0.25999,                0.26857,                0.12945,                    nan,                    nan,                    nan,              0.0011744,              0.0011744,              0.0011744
                     21,                 1.4058,                 1.4826,                  1.445,                0.46044,                0.26093,                0.27199,                0.13639,                    nan,                    nan,                    nan,              0.0011602,              0.0011602,              0.0011602
                     22,                 1.4092,                 1.4822,                 1.4404,                0.49265,                0.28695,                0.28662,                0.14267,                    nan,                    nan,                    nan,              0.0011461,              0.0011461,              0.0011461
                     23,                 1.4055,                 1.4587,                  1.435,                0.45221,                 0.2473,                  0.272,                0.13277,                    nan,                    nan,                    nan,              0.0011319,              0.0011319,              0.0011319
                     24,                 1.3989,                 1.4578,                 1.4313,                0.54462,                0.25799,                 0.2874,                0.14573,                    nan,                    nan,                    nan,              0.0011178,              0.0011178,              0.0011178
                     25,                 1.3828,                 1.4477,                 1.4271,                0.46042,                0.28115,                0.29107,                0.14207,                    nan,                    nan,                    nan,              0.0011036,              0.0011036,              0.0011036
                     26,                 1.3936,                 1.4375,                 1.4312,                0.61458,                0.26325,                0.29654,                0.14326,                    nan,                    nan,                    nan,              0.0010895,              0.0010895,              0.0010895
                     27,                 1.3836,                 1.4226,                 1.4177,                0.46394,                0.29171,                0.29419,                0.14672,                    nan,                    nan,                    nan,              0.0010753,              0.0010753,              0.0010753
                     28,                 1.3714,                 1.4033,                 1.4081,                0.48611,                0.29381,                0.31867,                0.16149,                    nan,                    nan,                    nan,              0.0010612,              0.0010612,              0.0010612
                     29,                 1.3687,                 1.4034,                 1.4088,                 0.4109,                 0.2889,                 0.2959,                0.14933,                    nan,                    nan,                    nan,               0.001047,               0.001047,               0.001047
                     30,                  1.359,                 1.3864,                 1.3991,                0.46081,                0.31152,                0.30354,                0.15233,                    nan,                    nan,                    nan,              0.0010329,              0.0010329,              0.0010329
                     31,                 1.3564,                 1.3865,                 1.4038,                0.43482,                0.29455,                0.28494,                0.14253,                    nan,                    nan,                    nan,              0.0010187,              0.0010187,              0.0010187
                     32,                 1.3544,                 1.3529,                 1.3951,                0.41058,                0.33465,                0.32546,                0.16298,                    nan,                    nan,                    nan,              0.0010046,              0.0010046,              0.0010046
                     33,                 1.3525,                 1.3667,                 1.3992,                0.51618,                 0.3035,                0.32472,                0.16459,                    nan,                    nan,                    nan,             0.00099044,             0.00099044,             0.00099044
                     34,                  1.343,                 1.3523,                 1.3905,                0.42318,                0.29511,                0.29559,                0.15143,                    nan,                    nan,                    nan,             0.00097629,             0.00097629,             0.00097629
                     35,                 1.3405,                 1.3426,                 1.3879,                0.48578,                0.30855,                 0.3214,                0.15572,                    nan,                    nan,                    nan,             0.00096215,             0.00096215,             0.00096215
                     36,                  1.358,                 1.3367,                 1.3945,                0.43844,                 0.3392,                0.33626,                0.17064,                    nan,                    nan,                    nan,               0.000948,               0.000948,               0.000948
                     37,                 1.3415,                 1.3368,                 1.3907,                0.48654,                  0.306,                0.32966,                 0.1686,                    nan,                    nan,                    nan,             0.00093385,             0.00093385,             0.00093385
                     38,                 1.3166,                  1.304,                 1.3751,                0.54836,                0.30538,                0.33498,                0.16904,                    nan,                    nan,                    nan,              0.0009197,              0.0009197,              0.0009197
                     39,                 1.3264,                  1.299,                  1.375,                0.46046,                0.31819,                0.32853,                0.16964,                    nan,                    nan,                    nan,             0.00090556,             0.00090556,             0.00090556
                     40,                 1.3194,                  1.296,                 1.3698,                0.49206,                0.31544,                0.32555,                0.16721,                    nan,                    nan,                    nan,             0.00089141,             0.00089141,             0.00089141
                     41,                 1.3199,                 1.3012,                 1.3767,                0.52514,                0.32133,                0.34004,                0.17425,                    nan,                    nan,                    nan,             0.00087726,             0.00087726,             0.00087726
                     42,                 1.3181,                 1.2878,                  1.373,                0.49621,                  0.328,                0.33632,                0.17171,                    nan,                    nan,                    nan,             0.00086312,             0.00086312,             0.00086312
                     43,                 1.2995,                 1.2658,                 1.3607,                0.47315,                0.30249,                0.31813,                0.16824,                    nan,                    nan,                    nan,             0.00084897,             0.00084897,             0.00084897
                     44,                 1.3086,                 1.2698,                 1.3606,                0.52866,                0.30429,                0.32598,                0.16468,                    nan,                    nan,                    nan,             0.00083482,             0.00083482,             0.00083482
                     45,                 1.2973,                 1.2708,                 1.3617,                0.44442,                 0.3077,                0.32103,                0.16843,                    nan,                    nan,                    nan,             0.00082067,             0.00082067,             0.00082067
                     46,                 1.2915,                 1.2488,                 1.3608,                0.49073,                0.30747,                0.32237,                0.16456,                    nan,                    nan,                    nan,             0.00080653,             0.00080653,             0.00080653
                     47,                 1.2892,                 1.2406,                 1.3558,                0.49157,                0.30835,                 0.3328,                0.17633,                    nan,                    nan,                    nan,             0.00079238,             0.00079238,             0.00079238
                     48,                 1.2947,                 1.2346,                 1.3503,                0.49601,                 0.2925,                0.32069,                0.16563,                    nan,                    nan,                    nan,             0.00077823,             0.00077823,             0.00077823
                     49,                 1.2907,                 1.2446,                 1.3533,                0.51278,                 0.2949,                0.31794,                0.16416,                    nan,                    nan,                    nan,             0.00076409,             0.00076409,             0.00076409
                     50,                 1.2776,                 1.2234,                 1.3468,                0.48692,                0.31254,                0.33679,                 0.1742,                    nan,                    nan,                    nan,             0.00074994,             0.00074994,             0.00074994
                     51,                 1.2781,                 1.2223,                  1.346,                0.50236,                0.31499,                 0.3332,                0.17107,                    nan,                    nan,                    nan,             0.00073579,             0.00073579,             0.00073579
                     52,                 1.2745,                 1.2046,                 1.3454,                0.53015,                0.32676,                0.35686,                0.18055,                    nan,                    nan,                    nan,             0.00072164,             0.00072164,             0.00072164
                     53,                 1.2751,                 1.2088,                 1.3414,                0.51888,                0.30791,                0.34389,                0.17939,                    nan,                    nan,                    nan,              0.0007075,              0.0007075,              0.0007075
                     54,                 1.2795,                 1.2041,                 1.3391,                0.52251,                0.30733,                 0.3452,                0.17998,                    nan,                    nan,                    nan,             0.00069335,             0.00069335,             0.00069335
                     55,                 1.2702,                 1.1887,                 1.3315,                0.51446,                0.29845,                 0.3316,                 0.1729,                    nan,                    nan,                    nan,              0.0006792,              0.0006792,              0.0006792
                     56,                 1.2521,                 1.1838,                 1.3284,                0.49859,                0.31451,                0.33515,                0.17769,                    nan,                    nan,                    nan,             0.00066506,             0.00066506,             0.00066506
                     57,                 1.2525,                 1.1843,                 1.3354,                0.54164,                0.30453,                0.34451,                0.18491,                    nan,                    nan,                    nan,             0.00065091,             0.00065091,             0.00065091
                     58,                 1.2579,                 1.1712,                 1.3298,                0.61254,                0.30306,                0.34548,                0.18248,                    nan,                    nan,                    nan,             0.00063676,             0.00063676,             0.00063676
                     59,                 1.2584,                 1.1571,                 1.3297,                0.53924,                 0.3154,                0.34334,                0.17979,                    nan,                    nan,                    nan,             0.00062262,             0.00062262,             0.00062262
                     60,                 1.2453,                 1.1482,                 1.3191,                0.55261,                 0.3225,                0.35347,                0.18116,                    nan,                    nan,                    nan,             0.00060847,             0.00060847,             0.00060847
                     61,                 1.2348,                 1.1389,                 1.3138,                0.54375,                0.32069,                0.34696,                  0.183,                    nan,                    nan,                    nan,             0.00059432,             0.00059432,             0.00059432
                     62,                 1.2445,                 1.1281,                  1.312,                0.51577,                0.29349,                 0.3301,                 0.1752,                    nan,                    nan,                    nan,             0.00058017,             0.00058017,             0.00058017
                     63,                  1.238,                 1.1326,                 1.3138,                0.50114,                0.33666,                0.35039,                0.18301,                    nan,                    nan,                    nan,             0.00056603,             0.00056603,             0.00056603
                     64,                 1.2344,                 1.1324,                 1.3045,                 0.4965,                0.32215,                0.34206,                0.18151,                    nan,                    nan,                    nan,             0.00055188,             0.00055188,             0.00055188
                     65,                 1.2397,                 1.1338,                 1.3155,                0.51711,                0.31196,                0.34176,                0.18393,                    nan,                    nan,                    nan,             0.00053773,             0.00053773,             0.00053773
                     66,                 1.2204,                 1.1171,                 1.3066,                0.52578,                0.32264,                0.34979,                0.18551,                    nan,                    nan,                    nan,             0.00052359,             0.00052359,             0.00052359
                     67,                 1.2119,                 1.1102,                 1.2982,                0.50888,                0.32534,                0.35405,                0.18493,                    nan,                    nan,                    nan,             0.00050944,             0.00050944,             0.00050944
                     68,                 1.2147,                 1.1176,                 1.2991,                0.55723,                0.30718,                0.35195,                0.18899,                    nan,                    nan,                    nan,             0.00049529,             0.00049529,             0.00049529
                     69,                 1.2193,                 1.0947,                 1.2994,                0.53403,                0.32278,                0.35104,                0.18836,                    nan,                    nan,                    nan,             0.00048114,             0.00048114,             0.00048114
                     70,                 1.2087,                 1.1002,                 1.2954,                0.54093,                0.30929,                0.34019,                0.18376,                    nan,                    nan,                    nan,               0.000467,               0.000467,               0.000467
                     71,                 1.1983,                 1.0831,                 1.2891,                0.51144,                0.30626,                0.33865,                 0.1809,                    nan,                    nan,                    nan,             0.00045285,             0.00045285,             0.00045285
                     72,                 1.2052,                 1.0805,                 1.2921,                0.50973,                0.31129,                0.33599,                0.18071,                    nan,                    nan,                    nan,              0.0004387,              0.0004387,              0.0004387
                     73,                 1.2032,                 1.0828,                 1.2906,                0.54597,                0.31479,                0.34361,                0.18459,                    nan,                    nan,                    nan,             0.00042456,             0.00042456,             0.00042456
                     74,                 1.1893,                 1.0656,                 1.2818,                 0.5222,                 0.3076,                0.33722,                0.18579,                    nan,                    nan,                    nan,             0.00041041,             0.00041041,             0.00041041
                     75,                  1.192,                 1.0718,                  1.286,                0.56974,                0.31543,                0.35132,                0.19037,                    nan,                    nan,                    nan,             0.00039626,             0.00039626,             0.00039626
                     76,                 1.1813,                 1.0637,                  1.279,                0.56331,                0.31838,                0.35271,                0.18977,                    nan,                    nan,                    nan,             0.00038211,             0.00038211,             0.00038211
                     77,                 1.1757,                 1.0517,                 1.2809,                0.63935,                0.29031,                0.35194,                0.18961,                    nan,                    nan,                    nan,             0.00036797,             0.00036797,             0.00036797
                     78,                 1.1819,                 1.0508,                  1.278,                0.68488,                0.29073,                0.36339,                0.19642,                    nan,                    nan,                    nan,             0.00035382,             0.00035382,             0.00035382
                     79,                 1.1717,                 1.0464,                 1.2741,                0.54848,                0.31726,                0.35463,                0.19103,                    nan,                    nan,                    nan,             0.00033967,             0.00033967,             0.00033967
                     80,                 1.1667,                 1.0416,                 1.2745,                0.57768,                0.31505,                0.35813,                0.19303,                    nan,                    nan,                    nan,             0.00032553,             0.00032553,             0.00032553
                     81,                 1.1778,                 1.0419,                 1.2772,                 0.5687,                 0.3155,                0.34991,                0.18935,                    nan,                    nan,                    nan,             0.00031138,             0.00031138,             0.00031138
                     82,                 1.1734,                 1.0325,                 1.2727,                0.55545,                0.32016,                0.36057,                0.19565,                    nan,                    nan,                    nan,             0.00029723,             0.00029723,             0.00029723
                     83,                 1.1713,                 1.0273,                 1.2704,                0.59722,                0.31304,                0.35263,                0.19232,                    nan,                    nan,                    nan,             0.00028308,             0.00028308,             0.00028308
                     84,                 1.1712,                 1.0269,                 1.2697,                0.56539,                0.30749,                0.35558,                0.19134,                    nan,                    nan,                    nan,             0.00026894,             0.00026894,             0.00026894
                     85,                  1.152,                 1.0167,                  1.259,                0.57544,                0.32094,                0.35519,                0.19271,                    nan,                    nan,                    nan,             0.00025479,             0.00025479,             0.00025479
                     86,                 1.1642,                 1.0223,                 1.2652,                0.58514,                0.31232,                0.36175,                0.19628,                    nan,                    nan,                    nan,             0.00024064,             0.00024064,             0.00024064
                     87,                 1.1513,                 1.0114,                 1.2609,                  0.591,                0.30721,                 0.3522,                0.19117,                    nan,                    nan,                    nan,              0.0002265,              0.0002265,              0.0002265
                     88,                 1.1586,                 1.0194,                  1.265,                0.57944,                0.31474,                0.36274,                 0.1964,                    nan,                    nan,                    nan,             0.00021235,             0.00021235,             0.00021235
