                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4927,                  2.077,                 1.4866,                0.45389,                0.19143,                0.18385,                0.08197,                    nan,                    nan,                    nan,             0.00047431,             0.00047431,             0.00047431
                      2,                  1.581,                 1.8978,                 1.5566,                0.25305,                0.18089,                0.16009,                0.07255,                    nan,                    nan,                    nan,             0.00094123,             0.00094123,             0.00094123
                      3,                 1.6103,                 1.9144,                  1.587,                0.31991,                0.20237,                0.19314,                0.08906,                    nan,                    nan,                    nan,              0.0013987,              0.0013987,              0.0013987
                      4,                 1.6132,                 1.9131,                 1.5993,                0.36261,                0.22626,                0.22728,                0.10157,                    nan,                    nan,                    nan,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.5877,                 1.8547,                 1.5834,                0.35816,                0.20222,                0.21204,                0.09762,                    nan,                    nan,                    nan,              0.0013866,              0.0013866,              0.0013866
                      6,                 1.5692,                 1.8069,                 1.5611,                0.63804,                0.23823,                 0.2559,                0.11995,                    nan,                    nan,                    nan,              0.0013724,              0.0013724,              0.0013724
                      7,                 1.5351,                 1.7485,                 1.5492,                0.40903,                0.24811,                0.26079,                0.12552,                    nan,                    nan,                    nan,              0.0013583,              0.0013583,              0.0013583
                      8,                 1.5201,                 1.7202,                 1.5366,                0.43064,                0.26667,                0.29516,                0.14309,                    nan,                    nan,                    nan,              0.0013441,              0.0013441,              0.0013441
                      9,                 1.4975,                 1.6913,                 1.5169,                0.38401,                0.25146,                0.27286,                0.13493,                    nan,                    nan,                    nan,                0.00133,                0.00133,                0.00133
                     10,                 1.4678,                 1.6348,                 1.4954,                0.69934,                0.27062,                0.31087,                0.15121,                    nan,                    nan,                    nan,              0.0013158,              0.0013158,              0.0013158
                     11,                 1.4632,                  1.633,                 1.4992,                0.53087,                0.27739,                0.30327,                0.14948,                    nan,                    nan,                    nan,              0.0013017,              0.0013017,              0.0013017
                     12,                 1.4587,                 1.6005,                 1.4849,                 0.5105,                0.30027,                0.32191,                0.16029,                    nan,                    nan,                    nan,              0.0012875,              0.0012875,              0.0012875
                     13,                 1.4428,                 1.5762,                 1.4832,                0.46517,                0.29561,                0.31269,                0.15572,                    nan,                    nan,                    nan,              0.0012734,              0.0012734,              0.0012734
                     14,                 1.4297,                 1.5468,                 1.4711,                0.46199,                0.30011,                0.31925,                0.15598,                    nan,                    nan,                    nan,              0.0012592,              0.0012592,              0.0012592
                     15,                 1.4193,                 1.5227,                 1.4685,                0.47182,                0.30584,                0.33326,                0.17146,                    nan,                    nan,                    nan,              0.0012451,              0.0012451,              0.0012451
                     16,                  1.414,                 1.5344,                 1.4732,                0.42575,                0.33138,                 0.3426,                0.16978,                    nan,                    nan,                    nan,              0.0012309,              0.0012309,              0.0012309
                     17,                  1.411,                 1.5112,                 1.4634,                0.71329,                 0.2939,                0.35938,                0.18741,                    nan,                    nan,                    nan,              0.0012168,              0.0012168,              0.0012168
                     18,                 1.4036,                 1.4797,                 1.4503,                0.54249,                0.32489,                0.37427,                0.19243,                    nan,                    nan,                    nan,              0.0012026,              0.0012026,              0.0012026
                     19,                 1.3884,                 1.4617,                 1.4388,                 0.4398,                0.35015,                0.35806,                0.19042,                    nan,                    nan,                    nan,              0.0011885,              0.0011885,              0.0011885
                     20,                 1.3824,                  1.427,                 1.4277,                0.51147,                0.29909,                0.36304,                0.19179,                    nan,                    nan,                    nan,              0.0011744,              0.0011744,              0.0011744
                     21,                 1.3654,                 1.4186,                 1.4295,                0.48591,                0.29342,                0.32374,                0.17201,                    nan,                    nan,                    nan,              0.0011602,              0.0011602,              0.0011602
                     22,                 1.3661,                 1.4065,                 1.4262,                0.46329,                0.34019,                0.35367,                0.19127,                    nan,                    nan,                    nan,              0.0011461,              0.0011461,              0.0011461
                     23,                 1.3544,                 1.3869,                 1.4175,                0.55211,                0.33507,                0.37212,                0.19838,                    nan,                    nan,                    nan,              0.0011319,              0.0011319,              0.0011319
                     24,                 1.3586,                  1.384,                  1.414,                0.55956,                0.33721,                0.35886,                0.19324,                    nan,                    nan,                    nan,              0.0011178,              0.0011178,              0.0011178
                     25,                 1.3343,                 1.3679,                 1.4056,                0.52766,                0.32209,                0.34836,                0.18458,                    nan,                    nan,                    nan,              0.0011036,              0.0011036,              0.0011036
                     26,                 1.3441,                 1.3577,                 1.4112,                0.51111,                0.34471,                0.37279,                0.20054,                    nan,                    nan,                    nan,              0.0010895,              0.0010895,              0.0010895
