epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.8752,1.11521,0.9402,1.25376,0.74564,0.71519,0.71842,0.45078,1.35491,1.0072,1.39192,0.000475268,0.000475268,0.000475268
2,134.099,1.16411,1.04276,1.28392,0.70573,0.70593,0.73266,0.46398,1.36659,1.08751,1.417,0.000763184,0.000763184,0.000763184
3,200.237,1.18599,1.03406,1.28871,0.76887,0.66249,0.74603,0.4572,1.36407,1.04232,1.39298,0.000862472,0.000862472,0.000862472
4,268.88,1.13599,0.98521,1.25947,0.75832,0.71593,0.76901,0.48371,1.36291,1.00777,1.38332,0.000580174,0.000580174,0.000580174
5,340.037,1.09614,0.90649,1.23944,0.77087,0.71302,0.77147,0.49587,1.31541,0.98635,1.37559,0.000297232,0.000297232,0.000297232
