                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5623,                 2.1245,                 1.4962,                0.81838,                0.10579,                0.11824,                0.05003,                    nan,                    nan,                    nan,               0.080191,             9.9541e-05,             9.9541e-05
                      2,                 1.5001,                 1.7315,                 1.4586,                0.83449,                 0.1252,                0.16951,                0.07167,                    nan,                    nan,                    nan,               0.060289,             0.00019707,             0.00019707
                      3,                 1.4774,                 1.6591,                 1.4514,                0.60344,                0.16586,                0.18173,                0.07476,                    nan,                    nan,                    nan,               0.040384,             0.00029213,             0.00029213
                      4,                 1.4615,                 1.5722,                 1.4334,                0.56782,                0.19453,                0.20137,                0.08816,                    nan,                    nan,                    nan,               0.020476,             0.00038471,             0.00038471
                      5,                 1.4623,                 1.5441,                 1.4312,                0.53737,                0.22721,                0.23637,                0.10375,                    nan,                    nan,                    nan,             0.00056656,             0.00047481,             0.00047481
                      6,                 1.4317,                 1.5129,                 1.4219,                0.67281,                0.21077,                0.24275,                0.11185,                    nan,                    nan,                    nan,             0.00046906,             0.00046906,             0.00046906
                      7,                 1.4388,                 1.4912,                 1.4314,                0.31674,                0.24385,                0.23292,                0.10539,                    nan,                    nan,                    nan,             0.00046906,             0.00046906,             0.00046906
                      8,                 1.4096,                 1.4576,                 1.4119,                0.38744,                0.25452,                0.24225,                0.10931,                    nan,                    nan,                    nan,             0.00046288,             0.00046288,             0.00046288
                      9,                 1.4058,                 1.4229,                 1.4043,                0.30963,                0.25345,                0.22908,                0.10883,                    nan,                    nan,                    nan,             0.00045669,             0.00045669,             0.00045669
                     10,                 1.3836,                 1.4049,                 1.3905,                0.51229,                0.24597,                0.25749,                0.11507,                    nan,                    nan,                    nan,              0.0004505,              0.0004505,              0.0004505
                     11,                 1.3799,                 1.3886,                 1.4027,                0.38634,                0.26448,                0.24697,                0.10937,                    nan,                    nan,                    nan,             0.00044431,             0.00044431,             0.00044431
                     12,                 1.3592,                 1.3505,                 1.3803,                0.33746,                0.29111,                0.24924,                0.11164,                    nan,                    nan,                    nan,             0.00043812,             0.00043812,             0.00043812
                     13,                 1.3641,                 1.3236,                 1.3628,                0.42573,                0.30867,                0.29445,                0.13551,                    nan,                    nan,                    nan,             0.00043194,             0.00043194,             0.00043194
                     14,                 1.3518,                 1.3071,                 1.3625,                0.44636,                0.25752,                0.27263,                0.12046,                    nan,                    nan,                    nan,             0.00042575,             0.00042575,             0.00042575
                     15,                 1.3399,                 1.3038,                 1.3597,                0.38588,                0.29384,                0.27199,                0.12668,                    nan,                    nan,                    nan,             0.00041956,             0.00041956,             0.00041956
                     16,                 1.3228,                 1.2664,                  1.344,                0.49859,                0.27836,                0.29859,                0.13814,                    nan,                    nan,                    nan,             0.00041338,             0.00041338,             0.00041338
                     17,                  1.317,                 1.2686,                 1.3492,                0.47409,                0.29932,                0.30695,                0.14346,                    nan,                    nan,                    nan,             0.00040719,             0.00040719,             0.00040719
                     18,                 1.3067,                 1.2611,                 1.3434,                0.55409,                0.27913,                0.30761,                0.14951,                    nan,                    nan,                    nan,               0.000401,               0.000401,               0.000401
                     19,                 1.3188,                 1.2445,                 1.3467,                0.44279,                0.28823,                0.29164,                0.14364,                    nan,                    nan,                    nan,             0.00039481,             0.00039481,             0.00039481
                     20,                  1.318,                 1.2367,                 1.3437,                0.47601,                 0.2839,                0.30493,                0.14108,                    nan,                    nan,                    nan,             0.00038863,             0.00038863,             0.00038863
                     21,                 1.3174,                 1.2218,                 1.3364,                0.37906,                 0.2713,                 0.2593,                  0.128,                    nan,                    nan,                    nan,             0.00038244,             0.00038244,             0.00038244
                     22,                 1.2897,                 1.2058,                 1.3228,                0.39798,                0.26985,                0.27396,                0.12614,                    nan,                    nan,                    nan,             0.00037625,             0.00037625,             0.00037625
                     23,                 1.2949,                 1.1973,                 1.3307,                 0.4666,                0.29534,                0.30275,                0.14719,                    nan,                    nan,                    nan,             0.00037006,             0.00037006,             0.00037006
                     24,                 1.2776,                 1.1688,                 1.3138,                0.50751,                0.29113,                0.30878,                0.14818,                    nan,                    nan,                    nan,             0.00036387,             0.00036387,             0.00036387
                     25,                  1.278,                 1.1679,                 1.3183,                0.48329,                0.27697,                0.29742,                0.13942,                    nan,                    nan,                    nan,             0.00035769,             0.00035769,             0.00035769
                     26,                 1.2714,                 1.1681,                 1.3136,                0.43484,                0.29287,                0.27772,                0.12844,                    nan,                    nan,                    nan,              0.0003515,              0.0003515,              0.0003515
                     27,                 1.2625,                 1.1441,                 1.3071,                0.52015,                0.27855,                0.29244,                0.13632,                    nan,                    nan,                    nan,             0.00034531,             0.00034531,             0.00034531
