epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,273.131,1.12316,0.94866,1.2539,0.77565,0.70904,0.75397,0.46942,1.37637,0.98636,1.39668,0.000475268,0.000475268,0.000475268
2,540.697,1.18481,1.05144,1.2896,0.73673,0.66221,0.71365,0.444,1.37511,1.12766,1.43296,0.000763184,0.000763184,0.000763184
