                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                  1.229,                 1.1283,                 1.2947,                 0.5976,                0.35134,                0.37764,                0.19967,                    nan,                    nan,                    nan,             0.00028344,             0.00028344,             0.00028344
                     38,                 1.2414,                 1.1314,                 1.3012,                0.50291,                0.34884,                0.35711,                0.18731,                    nan,                    nan,                    nan,             0.00027725,             0.00027725,             0.00027725
                     39,                 1.2244,                 1.1147,                 1.2942,                0.54978,                0.33039,                0.36603,                0.19735,                    nan,                    nan,                    nan,             0.00027106,             0.00027106,             0.00027106
                     40,                 1.2385,                 1.1189,                 1.2965,                0.52833,                0.33889,                0.36497,                0.19558,                    nan,                    nan,                    nan,             0.00026488,             0.00026488,             0.00026488
                     41,                 1.2054,                 1.0951,                 1.2915,                0.49702,                0.36158,                0.37128,                0.19866,                    nan,                    nan,                    nan,             0.00025869,             0.00025869,             0.00025869
                     42,                 1.2225,                 1.0967,                 1.2824,                0.49745,                0.32759,                0.35622,                0.19643,                    nan,                    nan,                    nan,              0.0002525,              0.0002525,              0.0002525
                     43,                 1.2126,                 1.0974,                 1.2868,                  0.529,                0.33157,                0.36881,                 0.1992,                    nan,                    nan,                    nan,             0.00024631,             0.00024631,             0.00024631
                     44,                 1.2095,                 1.0742,                  1.276,                0.53286,                 0.3352,                0.37024,                0.19891,                    nan,                    nan,                    nan,             0.00024013,             0.00024013,             0.00024013
                     45,                 1.2108,                 1.0649,                 1.2801,                0.54251,                0.33875,                 0.3681,                 0.2016,                    nan,                    nan,                    nan,             0.00023394,             0.00023394,             0.00023394
                     46,                 1.1869,                 1.0601,                 1.2665,                0.57661,                0.33152,                0.37474,                0.20219,                    nan,                    nan,                    nan,             0.00022775,             0.00022775,             0.00022775
                     47,                 1.2032,                  1.064,                 1.2782,                0.56537,                0.34681,                0.38159,                0.20663,                    nan,                    nan,                    nan,             0.00022156,             0.00022156,             0.00022156
                     48,                 1.1991,                 1.0603,                 1.2695,                0.57473,                0.33502,                0.37291,                0.19926,                    nan,                    nan,                    nan,             0.00021538,             0.00021538,             0.00021538
                     49,                 1.1974,                 1.0522,                 1.2696,                0.71693,                0.30373,                0.36149,                0.19965,                    nan,                    nan,                    nan,             0.00020919,             0.00020919,             0.00020919
                     50,                 1.1897,                 1.0336,                  1.263,                0.49299,                0.33935,                0.36307,                0.19736,                    nan,                    nan,                    nan,               0.000203,               0.000203,               0.000203
                     51,                 1.1762,                 1.0306,                 1.2617,                0.54221,                 0.3288,                0.37232,                0.20265,                    nan,                    nan,                    nan,             0.00019681,             0.00019681,             0.00019681
                     52,                  1.179,                 1.0279,                 1.2589,                0.56008,                0.33219,                0.36932,                0.19882,                    nan,                    nan,                    nan,             0.00019062,             0.00019062,             0.00019062
                     53,                 1.1707,                 1.0113,                 1.2534,                0.54137,                0.33288,                0.37482,                0.20367,                    nan,                    nan,                    nan,             0.00018444,             0.00018444,             0.00018444
                     54,                 1.1773,                 1.0293,                 1.2584,                0.51821,                0.33959,                 0.3641,                0.19418,                    nan,                    nan,                    nan,             0.00017825,             0.00017825,             0.00017825
                     55,                  1.168,                 1.0036,                 1.2502,                0.50798,                0.35611,                0.37254,                0.20435,                    nan,                    nan,                    nan,             0.00017206,             0.00017206,             0.00017206
                     56,                 1.1563,                 1.0048,                  1.247,                0.53615,                0.34701,                0.37615,                 0.2053,                    nan,                    nan,                    nan,             0.00016588,             0.00016588,             0.00016588
                     57,                 1.1514,                0.99182,                 1.2434,                0.57793,                0.35173,                0.38469,                0.20489,                    nan,                    nan,                    nan,             0.00015969,             0.00015969,             0.00015969
                     58,                 1.1584,                0.99104,                 1.2451,                0.56654,                0.35202,                0.37952,                0.20653,                    nan,                    nan,                    nan,              0.0001535,              0.0001535,              0.0001535
                     59,                 1.1455,                0.98333,                 1.2402,                0.60838,                0.35092,                0.39497,                0.21276,                    nan,                    nan,                    nan,             0.00014731,             0.00014731,             0.00014731
                     60,                 1.1468,                0.98349,                 1.2398,                  0.566,                 0.3443,                0.37266,                0.20277,                    nan,                    nan,                    nan,             0.00014113,             0.00014113,             0.00014113
                     61,                 1.1434,                0.97359,                  1.234,                0.60978,                 0.3452,                0.38316,                0.20927,                    nan,                    nan,                    nan,             0.00013494,             0.00013494,             0.00013494
                     62,                 1.1439,                0.97139,                 1.2317,                0.60272,                 0.3427,                0.38462,                0.20843,                    nan,                    nan,                    nan,             0.00012875,             0.00012875,             0.00012875
                     63,                 1.1323,                 0.9659,                 1.2331,                0.60768,                0.34325,                0.38619,                0.21014,                    nan,                    nan,                    nan,             0.00012256,             0.00012256,             0.00012256
                     64,                  1.134,                0.96153,                 1.2285,                 0.5536,                0.34006,                0.38238,                0.20886,                    nan,                    nan,                    nan,             0.00011637,             0.00011637,             0.00011637
                     65,                  1.122,                0.95479,                 1.2281,                 0.6121,                0.31456,                0.36832,                 0.2022,                    nan,                    nan,                    nan,             0.00011019,             0.00011019,             0.00011019
                     66,                 1.1238,                0.95176,                  1.227,                0.56418,                0.34216,                0.38082,                0.20875,                    nan,                    nan,                    nan,               0.000104,               0.000104,               0.000104
                     67,                 1.1151,                0.95473,                 1.2277,                0.56623,                0.34445,                0.37911,                0.20906,                    nan,                    nan,                    nan,             9.7812e-05,             9.7812e-05,             9.7812e-05
                     68,                 1.1156,                0.93966,                 1.2211,                 0.5815,                0.34157,                0.38312,                0.20796,                    nan,                    nan,                    nan,             9.1625e-05,             9.1625e-05,             9.1625e-05
                     69,                  1.108,                0.93514,                 1.2167,                0.55083,                0.35282,                0.38137,                0.20998,                    nan,                    nan,                    nan,             8.5437e-05,             8.5437e-05,             8.5437e-05
                     70,                  1.114,                0.93996,                 1.2256,                0.58801,                0.35727,                 0.3951,                0.21594,                    nan,                    nan,                    nan,              7.925e-05,              7.925e-05,              7.925e-05
                     71,                 1.0424,                0.77419,                 1.1724,                0.62166,                0.32952,                0.38369,                0.21009,                    nan,                    nan,                    nan,             7.3062e-05,             7.3062e-05,             7.3062e-05
                     72,                 1.0355,                0.75427,                 1.1673,                0.62878,                0.33882,                 0.3958,                0.21569,                    nan,                    nan,                    nan,             6.6875e-05,             6.6875e-05,             6.6875e-05
                     73,                 1.0256,                0.74712,                 1.1662,                0.56161,                0.34921,                0.38813,                0.21335,                    nan,                    nan,                    nan,             6.0688e-05,             6.0688e-05,             6.0688e-05
                     74,                 1.0239,                0.73972,                 1.1627,                0.61802,                0.34234,                0.39147,                0.21506,                    nan,                    nan,                    nan,               5.45e-05,               5.45e-05,               5.45e-05
                     75,                 1.0157,                0.72973,                 1.1547,                0.58036,                0.34917,                0.39349,                0.21599,                    nan,                    nan,                    nan,             4.8313e-05,             4.8313e-05,             4.8313e-05
                     76,                 1.0064,                0.72118,                 1.1546,                0.59141,                 0.3477,                0.38955,                0.21415,                    nan,                    nan,                    nan,             4.2125e-05,             4.2125e-05,             4.2125e-05
                     77,                0.99904,                0.72178,                  1.155,                 0.5928,                0.34723,                0.38976,                0.21453,                    nan,                    nan,                    nan,             3.5937e-05,             3.5937e-05,             3.5937e-05
                     78,                 1.0001,                0.71347,                 1.1524,                0.57264,                0.35549,                0.38962,                0.21493,                    nan,                    nan,                    nan,              2.975e-05,              2.975e-05,              2.975e-05
                     79,                 0.9958,                0.71502,                 1.1487,                0.57346,                0.36535,                0.39337,                0.21486,                    nan,                    nan,                    nan,             2.3562e-05,             2.3562e-05,             2.3562e-05
                     80,                0.99469,                0.71371,                 1.1456,                0.58159,                0.36072,                0.39202,                0.21463,                    nan,                    nan,                    nan,             1.7375e-05,             1.7375e-05,             1.7375e-05
