epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.0942,1.11521,0.9402,1.25376,0.74564,0.71519,0.71842,0.45078,1.35491,1.0072,1.39192,0.000475268,0.000475268,0.000475268
2,139.891,1.13441,0.97526,1.26611,0.7541,0.69377,0.74756,0.46996,1.34939,1.03656,1.39158,0.000637573,0.000637573,0.000637573
3,213.19,1.14181,0.97063,1.26548,0.7641,0.7362,0.76822,0.48828,1.33449,0.97324,1.36472,0.000485498,0.000485498,0.000485498
