                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5149,                 2.1517,                 1.5006,                0.28418,                0.21578,                0.21244,                0.09583,                    nan,                    nan,                    nan,             0.00047431,             0.00047431,             0.00047431
                      2,                 1.5842,                 1.9168,                 1.5533,                0.34973,                 0.2295,                 0.2102,                0.09596,                    nan,                    nan,                    nan,             0.00094123,             0.00094123,             0.00094123
                      3,                  1.624,                 1.9328,                 1.5839,                  0.294,                0.21185,                0.18063,                0.08063,                    nan,                    nan,                    nan,              0.0013987,              0.0013987,              0.0013987
                      4,                 1.6197,                 1.9152,                 1.5942,                0.28995,                0.23281,                0.20809,                 0.0897,                    nan,                    nan,                    nan,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.6033,                 1.8818,                 1.5772,                0.37808,                0.19897,                0.20616,                0.09346,                    nan,                    nan,                    nan,              0.0013866,              0.0013866,              0.0013866
                      6,                  1.578,                 1.8338,                 1.5593,                0.47981,                0.24621,                0.23446,                 0.1076,                    nan,                    nan,                    nan,              0.0013724,              0.0013724,              0.0013724
                      7,                 1.5625,                  1.783,                 1.5582,                0.52103,                0.24018,                0.25135,                0.11218,                    nan,                    nan,                    nan,              0.0013583,              0.0013583,              0.0013583
                      8,                 1.5409,                 1.7559,                  1.538,                0.45367,                0.25998,                0.25843,                0.11959,                    nan,                    nan,                    nan,              0.0013441,              0.0013441,              0.0013441
                      9,                 1.5282,                 1.7308,                 1.5279,                0.43138,                0.23993,                0.25761,                0.12187,                    nan,                    nan,                    nan,                0.00133,                0.00133,                0.00133
                     10,                 1.5047,                 1.6802,                 1.5086,                0.41772,                  0.267,                0.25571,                0.12128,                    nan,                    nan,                    nan,              0.0013158,              0.0013158,              0.0013158
                     11,                 1.4961,                 1.6775,                 1.5105,                0.57321,                0.24935,                0.27319,                0.13135,                    nan,                    nan,                    nan,              0.0013017,              0.0013017,              0.0013017
                     12,                 1.4965,                 1.6484,                 1.4966,                0.71872,                0.25111,                0.29137,                0.14086,                    nan,                    nan,                    nan,              0.0012875,              0.0012875,              0.0012875
                     13,                 1.4797,                 1.6353,                 1.5006,                0.42101,                0.26366,                0.27312,                0.13073,                    nan,                    nan,                    nan,              0.0012734,              0.0012734,              0.0012734
                     14,                  1.467,                 1.6146,                 1.4862,                0.59854,                0.28128,                0.31622,                0.15701,                    nan,                    nan,                    nan,              0.0012592,              0.0012592,              0.0012592
                     15,                 1.4465,                 1.5783,                 1.4738,                0.47211,                0.25096,                0.28177,                0.13586,                    nan,                    nan,                    nan,              0.0012451,              0.0012451,              0.0012451
                     16,                 1.4441,                  1.574,                 1.4766,                0.42728,                0.30613,                0.31145,                0.15102,                    nan,                    nan,                    nan,              0.0012309,              0.0012309,              0.0012309
                     17,                 1.4497,                  1.575,                 1.4752,                0.55937,                0.30136,                0.31478,                0.15136,                    nan,                    nan,                    nan,              0.0012168,              0.0012168,              0.0012168
                     18,                  1.443,                 1.5376,                 1.4662,                0.50605,                0.29569,                0.33376,                0.16405,                    nan,                    nan,                    nan,              0.0012026,              0.0012026,              0.0012026
                     19,                 1.4224,                 1.5175,                 1.4467,                0.50905,                0.29272,                 0.3112,                0.15561,                    nan,                    nan,                    nan,              0.0011885,              0.0011885,              0.0011885
                     20,                 1.4225,                 1.4887,                 1.4359,                0.44602,                0.27499,                0.30676,                0.15288,                    nan,                    nan,                    nan,              0.0011744,              0.0011744,              0.0011744
                     21,                 1.4058,                 1.4826,                  1.445,                0.49853,                0.28529,                0.31398,                0.15933,                    nan,                    nan,                    nan,              0.0011602,              0.0011602,              0.0011602
                     22,                 1.4092,                 1.4822,                 1.4404,                0.47958,                0.29726,                0.32541,                0.16639,                    nan,                    nan,                    nan,              0.0011461,              0.0011461,              0.0011461
                     23,                 1.4055,                 1.4587,                  1.435,                0.55926,                0.26686,                0.31698,                0.15793,                    nan,                    nan,                    nan,              0.0011319,              0.0011319,              0.0011319
                     24,                 1.3989,                 1.4578,                 1.4313,                0.51986,                0.30099,                0.33139,                0.17193,                    nan,                    nan,                    nan,              0.0011178,              0.0011178,              0.0011178
                     25,                 1.3828,                 1.4477,                 1.4271,                0.49994,                0.31534,                0.33515,                0.16862,                    nan,                    nan,                    nan,              0.0011036,              0.0011036,              0.0011036
                     26,                 1.3936,                 1.4375,                 1.4312,                0.54131,                0.30187,                0.33824,                0.16655,                    nan,                    nan,                    nan,              0.0010895,              0.0010895,              0.0010895
                     27,                 1.3836,                 1.4226,                 1.4177,                0.47539,                0.33099,                0.33787,                0.17431,                    nan,                    nan,                    nan,              0.0010753,              0.0010753,              0.0010753
                     28,                 1.3714,                 1.4033,                 1.4081,                0.55245,                0.31713,                0.36319,                0.18791,                    nan,                    nan,                    nan,              0.0010612,              0.0010612,              0.0010612
                     29,                 1.3687,                 1.4034,                 1.4088,                0.48747,                0.31525,                0.34377,                0.17638,                    nan,                    nan,                    nan,               0.001047,               0.001047,               0.001047
                     30,                  1.359,                 1.3864,                 1.3991,                0.51092,                0.34779,                0.34949,                0.18015,                    nan,                    nan,                    nan,              0.0010329,              0.0010329,              0.0010329
