epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.116,1.15749,1.0378,1.28664,0.77005,0.70325,0.75698,0.47895,1.33727,0.99889,1.37379,0.0004758,0.0004758,0.0004758
2,226.34,1.18724,1.07801,1.30185,0.72862,0.68131,0.73081,0.44677,1.38334,1.06484,1.40426,0.000763611,0.000763611,0.000763611
3,346.319,1.19051,1.09674,1.30328,0.75415,0.70779,0.75446,0.46338,1.35728,1.04184,1.38487,0.000862794,0.000862794,0.000862794
