epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.7718,1.20299,1.92212,1.30283,0.69325,0.70052,0.68354,0.4211,1.39718,2.20077,1.44552,0.0667745,3.32588e-05,3.32588e-05
2,136.563,1.08276,1.62168,1.22702,0.79232,0.71326,0.76782,0.48687,1.35045,1.97263,1.38269,0.0334679,5.99995e-05,5.99995e-05
3,206.136,1.04114,1.5084,1.20131,0.76859,0.727,0.75847,0.49526,1.31791,1.90097,1.36674,0.000154711,8.01402e-05,8.01402e-05
4,285.283,1.02041,1.4392,1.19263,0.79769,0.72346,0.76519,0.49821,1.30925,1.87274,1.36054,7.03e-05,7.03e-05,7.03e-05
5,356.397,1.0188,1.42926,1.18801,0.76762,0.75427,0.764,0.50062,1.30147,1.87847,1.35193,6.04e-05,6.04e-05,6.04e-05
6,430.005,1.00809,1.41003,1.18464,0.7663,0.73221,0.76271,0.49786,1.30603,1.87031,1.35776,5.05e-05,5.05e-05,5.05e-05
7,503.676,1.01121,1.41801,1.18991,0.78434,0.72477,0.76723,0.50056,1.30387,1.85997,1.3603,4.06e-05,4.06e-05,4.06e-05
8,576.783,1.00248,1.3979,1.1776,0.7788,0.73232,0.76698,0.50248,1.30466,1.87257,1.3614,3.07e-05,3.07e-05,3.07e-05
