                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5773,                 2.2028,                 1.5152,                0.20306,                 0.1409,                0.11105,                0.04203,                    nan,                    nan,                    nan,               0.080185,             9.9574e-05,             9.9574e-05
                      2,                 1.5059,                 1.8047,                 1.4743,                0.61882,                0.18181,                0.17928,                0.08094,                    nan,                    nan,                    nan,               0.060281,             0.00019628,             0.00019628
                      3,                 1.4926,                 1.7201,                 1.4693,                0.33448,                0.22083,                0.24547,                0.11935,                    nan,                    nan,                    nan,               0.040375,             0.00028969,             0.00028969
                      4,                 1.4975,                 1.6891,                 1.4744,                0.68732,                0.24081,                0.25807,                0.12465,                    nan,                    nan,                    nan,               0.020465,              0.0003798,              0.0003798
                      5,                 1.4569,                 1.6242,                 1.4582,                0.63739,                 0.2772,                0.29835,                0.14393,                    nan,                    nan,                    nan,             0.00055171,              0.0004666,              0.0004666
                      6,                 1.4661,                 1.5821,                 1.4535,                0.62031,                0.25511,                0.27022,                0.13199,                    nan,                    nan,                    nan,             0.00045875,             0.00045875,             0.00045875
                      7,                 1.4461,                 1.5487,                 1.4432,                0.46684,                0.26312,                0.29167,                0.14823,                    nan,                    nan,                    nan,             0.00045875,             0.00045875,             0.00045875
                      8,                 1.4327,                 1.5377,                 1.4329,                 0.7178,                0.24194,                0.28118,                0.14708,                    nan,                    nan,                    nan,              0.0004505,              0.0004505,              0.0004505
                      9,                 1.4221,                  1.511,                 1.4348,                0.37919,                0.24197,                0.29667,                0.15154,                    nan,                    nan,                    nan,             0.00044225,             0.00044225,             0.00044225
                     10,                 1.4203,                  1.477,                 1.4172,                0.36897,                0.31527,                0.30893,                0.15389,                    nan,                    nan,                    nan,               0.000434,               0.000434,               0.000434
                     11,                 1.3896,                 1.4332,                 1.4083,                0.55814,                 0.2794,                0.32579,                0.16946,                    nan,                    nan,                    nan,             0.00042575,             0.00042575,             0.00042575
                     12,                 1.3895,                 1.4273,                 1.4003,                0.52324,                0.28278,                0.31602,                 0.1596,                    nan,                    nan,                    nan,              0.0004175,              0.0004175,              0.0004175
                     13,                 1.3755,                  1.387,                 1.3898,                 0.5296,                0.28273,                0.30963,                0.15833,                    nan,                    nan,                    nan,             0.00040925,             0.00040925,             0.00040925
                     14,                 1.3668,                 1.3953,                 1.3876,                0.41222,                0.28588,                0.32497,                 0.1659,                    nan,                    nan,                    nan,               0.000401,               0.000401,               0.000401
                     15,                 1.3695,                 1.3724,                 1.3806,                0.37443,                0.29553,                0.30262,                0.15163,                    nan,                    nan,                    nan,             0.00039275,             0.00039275,             0.00039275
                     16,                 1.3513,                 1.3429,                 1.3758,                0.47715,                0.28717,                0.31622,                0.16116,                    nan,                    nan,                    nan,              0.0003845,              0.0003845,              0.0003845
                     17,                 1.3414,                 1.3195,                 1.3696,                0.53124,                0.28327,                0.33094,                0.17223,                    nan,                    nan,                    nan,             0.00037625,             0.00037625,             0.00037625
                     18,                 1.3262,                 1.3255,                 1.3652,                0.51865,                0.29604,                0.33453,                0.17079,                    nan,                    nan,                    nan,               0.000368,               0.000368,               0.000368
                     19,                 1.3306,                 1.3139,                  1.368,                0.56745,                0.28601,                0.32751,                0.17383,                    nan,                    nan,                    nan,             0.00035975,             0.00035975,             0.00035975
                     20,                 1.3315,                 1.2942,                 1.3609,                0.44282,                0.34135,                 0.3645,                0.18824,                    nan,                    nan,                    nan,              0.0003515,              0.0003515,              0.0003515
                     21,                 1.3215,                 1.2667,                 1.3527,                0.56441,                0.30873,                0.35657,                 0.1855,                    nan,                    nan,                    nan,             0.00034325,             0.00034325,             0.00034325
                     22,                 1.3045,                 1.2701,                 1.3382,                0.47142,                0.30476,                0.34209,                0.17779,                    nan,                    nan,                    nan,               0.000335,               0.000335,               0.000335
