epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2855.3,1.14961,0.96909,1.25956,0.75523,0.70241,0.75304,0.4761,1.3713,1.00328,1.39683,0.000848969,0.000848969,0.000848969
43,2924.26,1.14101,0.9788,1.25958,0.79264,0.68958,0.76167,0.4834,1.37352,1.00004,1.38975,0.000834822,0.000834822,0.000834822
44,2992.99,1.14542,0.96056,1.26184,0.74202,0.71107,0.74342,0.47846,1.34843,1.00459,1.3794,0.000820675,0.000820675,0.000820675
45,3062,1.14047,0.96441,1.263,0.75996,0.70776,0.7626,0.48465,1.35845,1.01717,1.39755,0.000806528,0.000806528,0.000806528
46,3130.59,1.12077,0.94378,1.24916,0.75196,0.7244,0.7674,0.48808,1.36116,0.98658,1.39678,0.00079238,0.00079238,0.00079238
47,3199.16,1.12721,0.9324,1.25267,0.74667,0.7317,0.76995,0.48818,1.36383,0.98316,1.39661,0.000778233,0.000778233,0.000778233
48,3267.6,1.12506,0.93724,1.24689,0.76133,0.71862,0.75188,0.47588,1.3742,0.9898,1.40807,0.000764086,0.000764086,0.000764086
49,3335.68,1.13518,0.9448,1.26354,0.76258,0.70682,0.74872,0.47942,1.35941,0.97559,1.38826,0.000749939,0.000749939,0.000749939
50,3404.1,1.12033,0.93284,1.24188,0.76323,0.70113,0.74089,0.47034,1.35,0.99577,1.39352,0.000735792,0.000735792,0.000735792
51,3472.76,1.11377,0.91329,1.24008,0.74199,0.71459,0.74396,0.47403,1.3585,0.99156,1.39419,0.000721645,0.000721645,0.000721645
52,3541.54,1.10662,0.96075,1.24665,0.75776,0.73276,0.76423,0.47936,1.3447,0.97589,1.37945,0.000707498,0.000707498,0.000707498
53,3609.7,1.11407,0.91918,1.24076,0.77019,0.70763,0.76593,0.48924,1.34589,0.96567,1.37986,0.000693351,0.000693351,0.000693351
54,3677.06,1.10263,0.90256,1.234,0.77267,0.70897,0.74652,0.4843,1.34914,0.97663,1.38995,0.000679204,0.000679204,0.000679204
55,5794.17,1.1142,0.90622,1.23475,0.76343,0.73153,0.75387,0.48349,1.33717,0.96603,1.38218,0.000665057,0.000665057,0.000665057
56,5847.21,1.10285,0.91514,1.23862,0.77892,0.72788,0.78047,0.50558,1.32529,0.95385,1.36568,0.000650909,0.000650909,0.000650909
57,5901.03,1.09941,0.9049,1.23313,0.74937,0.75428,0.78773,0.49804,1.35377,0.9606,1.39631,0.000636762,0.000636762,0.000636762
58,5955.14,1.08263,0.88734,1.21793,0.77592,0.71969,0.78419,0.50627,1.34365,0.95724,1.3726,0.000622615,0.000622615,0.000622615
